Country,Mortality,GDP,Code,Continent
Aruba,8.09,25300,ABW,North America
Andorra,2.1,42806.52255,AND,Europe
Afghanistan,66.3,661.969562,AFG,Asia
Angola,96,5295.210896,AGO,Africa
Albania,12.5,4458.073207,ALB,Europe
United Arab Emirates,5.9,44506.76359,ARE,Middle East
Argentina,11.1,14623.47869,ARG,South America
Armenia,12.6,3486.145636,ARM,Asia
American Samoa,8.69,8000,ASM,Australia
Antigua and Barbuda,5.8,13342.085,ATG,North America
Australia,3,67473.0338,AUS,Australia
Austria,2.9,50513.38542,AUT,Europe
Azerbaijan,27.9,7811.621418,AZE,Asia
Burundi,54.1,259.3652026,BDI,Africa
Belgium,3.3,46927.24898,BEL,Europe
Benin,64.2,804.7892605,BEN,Africa
Burkina Faso,60.9,709.7828128,BFA,Africa
Bangladesh,30.7,954.3963997,BGD,Asia
Bulgaria,9.3,7498.831484,BGR,Europe
Bahrain,5.3,24378.94483,BHR,Middle East
"Bahamas, The",9.9,22315.60365,BHS,North America
Bosnia and Herzegovina,5.1,4668.804076,BIH,Europe
Belarus,3.4,7722.123351,BLR,Europe
Belize,14.2,4719.137955,BLZ,North America
Bermuda,,85748.06541,BMU,North America
Bolivia,30.6,2942.438536,BOL,South America
Brazil,14.6,11711.06334,BRA,South America
Barbados,12,15153.82138,BRB,North America
Brunei Darussalam,8.6,39152.30848,BRN,Asia
Bhutan,27.2,2360.421517,BTN,Asia
Botswana,34.8,6882.259587,BWA,Africa
Central African Republic,91.5,327.8989609,CAF,Africa
Canada,4.3,52305.25839,CAN,North America
Switzerland,3.4,84732.95726,CHE,Europe
Chile,7,15741.71166,CHL,South America
China,9.2,6991.853866,CHN,Asia
Cote d'Ivoire,66.6,1447.222711,CIV,Africa
Cameroon,57.1,1331.200021,CMR,Africa
Congo_ Rep.,33.2,3205.457783,COG,Africa
Colombia,13.6,8027.97816,COL,South America
Comoros,55.1,823.0241627,COM,Africa
Cabo Verde,20.7,3623.224045,CPV,Africa
Costa Rica,8.5,10461.57682,CRI,North America
Cuba,4,6789.849597,CUB,North America
Cyprus,2.5,27910.61983,CYP,Middle East
Czech Republic,2.8,19858.34346,CZE,Europe
Germany,3.1,46254.97659,DEU,Europe
Djibouti,54.2,1684.503796,DJI,Africa
Dominica,19.6,7175.427632,DMA,North America
Denmark,2.9,59818.63153,DNK,Europe
Dominican Republic,25.7,5952.322754,DOM,South America
Algeria,21.9,5504.181309,DZA,Africa
Ecuador,18.4,6032.232804,ECU,South America
Egypt_ Arab Rep.,20.3,3104.219707,EGY,Africa
Eritrea,34.1,688.9815607,ERI,Africa
Spain,3.5,29880.71284,ESP,Europe
Estonia,2.3,18877.33049,EST,Europe
Ethiopia,41.4,502.5967236,ETH,Africa
Finland,1.9,49310.22922,FIN,Europe
Fiji,19.1,4378.306845,FJI,Australia
France,3.5,42627.65244,FRA,Europe
Faeroe Islands,,54117.84438,FRO,Europe
Micronesia_ Fed. Sts.,28.6,3049.091768,FSM,Australia
Gabon,36.1,10425.10551,GAB,Africa
United Kingdom,3.5,41776.75948,GBR,Europe
Georgia,10.6,3596.90832,GEO,Europe
Ghana,42.8,1856.900161,GHA,Africa
Guinea,61,521.5389059,GIN,Africa
Gambia_ The,47.9,477.3989285,GMB,Africa
Guinea-Bissau,60.3,538.7338705,GNB,Africa
Equatorial Guinea,68.2,19546.69114,GNQ,Africa
Greece,3.6,21965.96289,GRC,Europe
Grenada,10.8,7889.894011,GRD,North America
Guatemala,24.3,3432.022425,GTM,North America
Guyana,32,3928.87895,GUY,South America
Honduras,17.4,2356.517955,HND,North America
Croatia,3.6,13597.92145,HRV,Europe
Haiti,52.2,810.3273325,HTI,North America
Hungary,5.3,13486.58574,HUN,Europe
Indonesia,22.8,3623.53236,IDN,Asia
India,37.9,1455.102191,IND,Asia
Ireland,3,50470.31947,IRL,Europe
Iran_ Islamic Rep.,13.4,6400.294877,IRN,Middle East
Iraq,26.5,6882.406872,IRQ,Middle East
Iceland,1.6,47548.68774,ISL,Europe
Israel,3.2,36050.69796,ISR,Middle East
Italy,2.9,35477.47287,ITA,Europe
Jamaica,13.5,5290.486134,JAM,North America
Jordan,15.4,5200.285397,JOR,Middle East
Japan,2,38633.70806,JPN,Asia
Kazakhstan,12.6,13611.53736,KAZ,Asia
Kenya,35.5,1257.202838,KEN,Africa
Kyrgyz Republic,19,1282.437162,KGZ,Asia
Cambodia,24.6,1009.909922,KHM,Asia
Kiribati,43.6,1556.461022,KIR,Australia
St. Kitts and Nevis,8.4,14255.24528,KNA,North America
Korea_ Rep.,2.9,25997.88066,KOR,Asia
Kosovo,36.4,3890.300665,KSV,Europe
Kuwait,7.3,48926.52543,KWT,Middle East
Lao PDR,50.7,1700.537964,LAO,Asia
Lebanon,7.1,9870.486278,LBN,Middle East
Liberia,52.8,453.339457,LBR,Africa
Libya,11.4,10454.79255,LBY,Africa
St. Lucia,12.7,7327.084343,LCA,South America
Sri Lanka,8.4,3281.068664,LKA,Asia
Lesotho,69.2,1031.021336,LSO,Africa
Lithuania,3.3,15689.00226,LTU,Europe
Luxembourg,1.5,110664.8403,LUX,Europe
Latvia,6.9,15357.26927,LVA,Europe
